Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.5719,0.0530,0.1531,0.0116,0.5798,0.0187,0.2613,0.0317,0.3969,0.0188,0.3645,0.0249,0.5162,0.0268,DMPCC_DT-F1
0.3918,0.0052,0.1102,0.0016,0.6864,0.0059,0.2337,0.0057,0.3381,0.0227,0.3011,0.0059,0.4427,0.0262,PCC_LR-Subset
0.4238,0.0061,0.1085,0.0022,0.6571,0.0028,0.2666,0.0030,0.4004,0.0223,0.3261,0.0033,0.4869,0.0283,PCC_LR-Hamming
0.5206,0.0168,0.1306,0.0040,0.6879,0.0083,0.1142,0.0075,0.2037,0.0244,0.2246,0.0068,0.3202,0.0364,PCC_LR-F1
0.4641,0.0156,0.1293,0.0049,0.6655,0.0163,0.1954,0.0118,0.4295,0.0561,0.2891,0.0145,0.5121,0.0502,PCC_WLR-Subset
0.4815,0.0166,0.1275,0.0052,0.6525,0.0160,0.2107,0.0108,0.4508,0.0539,0.2997,0.0139,0.5280,0.0484,PCC_WLR-Hamming
0.5797,0.0126,0.1491,0.0038,0.6735,0.0089,0.0803,0.0155,0.2001,0.0501,0.2125,0.0118,0.3475,0.0451,PCC_WLR-F1
0.4017,0.0084,0.1127,0.0040,0.6795,0.0108,0.2391,0.0067,0.3464,0.0276,0.3079,0.0078,0.4560,0.0366,PCC_LR_ROS-Subset
0.4275,0.0118,0.1116,0.0034,0.6575,0.0112,0.2618,0.0071,0.3959,0.0256,0.3251,0.0083,0.4912,0.0317,PCC_LR_ROS-Hamming
0.5081,0.0176,0.1309,0.0060,0.6830,0.0153,0.1315,0.0155,0.2044,0.0328,0.2389,0.0166,0.3490,0.0181,PCC_LR_ROS-F1
0.4495,0.0304,0.1231,0.0079,0.6757,0.0192,0.1988,0.0072,0.3230,0.0506,0.2863,0.0124,0.4282,0.0407,DMPCC_LR-Subset
0.4595,0.0274,0.1216,0.0089,0.6693,0.0211,0.2059,0.0105,0.3386,0.0444,0.2905,0.0159,0.4256,0.0392,DMPCC_LR-Hamming
0.5433,0.0275,0.1382,0.0082,0.6761,0.0210,0.1248,0.0101,0.2077,0.0203,0.2379,0.0089,0.3226,0.0232,DMPCC_LR-F1
0.4548,0.0377,0.1133,0.0088,0.6939,0.0238,0.1650,0.0310,0.2711,0.0678,0.2483,0.0247,0.3785,0.0506,DMBRC-Subset
0.4548,0.0377,0.1133,0.0088,0.6939,0.0238,0.1650,0.0310,0.2711,0.0678,0.2483,0.0247,0.3785,0.0506,DMBRC-Hamming
0.4548,0.0377,0.1133,0.0088,0.6939,0.0238,0.1650,0.0310,0.2711,0.0678,0.2483,0.0247,0.3785,0.0506,DMBRC-F1
